,title,date,article_id,url,main_topic,all_topics,authors,year
0,NAS-LID: Efficient Neural Architecture Search with Local Intrinsic Dimension,2022-11-23 08:08:17+00:00,0,http://arxiv.org/pdf/2211.12759v2,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Xin He'), arxiv.Result.Author('Jiangchao Yao'), arxiv.Result.Author('Yuxin Wang'), arxiv.Result.Author('Zhenheng Tang'), arxiv.Result.Author('Ka Chu Cheung'), arxiv.Result.Author('Simon See'), arxiv.Result.Author('Bo Han'), arxiv.Result.Author('Xiaowen Chu')]",2022
1,Towards Automated Design of Bayesian Optimization via Exploratory Landscape Analysis,2022-11-17 17:15:04+00:00,1,http://arxiv.org/pdf/2211.09678v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Carolin Benjamins'), arxiv.Result.Author('Anja Jankovic'), arxiv.Result.Author('Elena Raponi'), arxiv.Result.Author('Koen van der Blom'), arxiv.Result.Author('Marius Lindauer'), arxiv.Result.Author('Carola Doerr')]",2022
2,NEVIS'22: A Stream of 100 Tasks Sampled from 30 Years of Computer Vision Research,2022-11-15 18:57:46+00:00,2,http://arxiv.org/pdf/2211.11747v1,cs.LG,"['cs.LG', 'cs.CV']","[arxiv.Result.Author('Jorg Bornschein'), arxiv.Result.Author('Alexandre Galashov'), arxiv.Result.Author('Ross Hemsley'), arxiv.Result.Author('Amal Rannen-Triki'), arxiv.Result.Author('Yutian Chen'), arxiv.Result.Author('Arslan Chaudhry'), arxiv.Result.Author('Xu Owen He'), arxiv.Result.Author('Arthur Douillard'), arxiv.Result.Author('Massimo Caccia'), arxiv.Result.Author('Qixuang Feng'), arxiv.Result.Author('Jiajun Shen'), arxiv.Result.Author('Sylvestre-Alvise Rebuffi'), arxiv.Result.Author('Kitty Stacpoole'), arxiv.Result.Author('Diego de las Casas'), arxiv.Result.Author('Will Hawkins'), arxiv.Result.Author('Angeliki Lazaridou'), arxiv.Result.Author('Yee Whye Teh'), arxiv.Result.Author('Andrei A. Rusu'), arxiv.Result.Author('Razvan Pascanu'), arxiv.Result.Author(""Marc'Aurelio Ranzato"")]",2022
3,Challenges and Barriers of Using Low Code Software for Machine Learning,2022-11-09 03:28:38+00:00,3,http://arxiv.org/pdf/2211.04661v1,cs.SE,['cs.SE'],"[arxiv.Result.Author('Md Abdullah Al Alamin'), arxiv.Result.Author('Gias Uddin')]",2022
4,Hyperparameter optimization in deep multi-target prediction,2022-11-08 16:33:36+00:00,4,http://arxiv.org/pdf/2211.04362v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Dimitrios Iliadis'), arxiv.Result.Author('Marcel Wever'), arxiv.Result.Author('Bernard De Baets'), arxiv.Result.Author('Willem Waegeman')]",2022
5,The Technological Emergence of AutoML: A Survey of Performant Software and Applications in the Context of Industry,2022-11-08 10:42:08+00:00,5,http://arxiv.org/pdf/2211.04148v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Alexander Scriven'), arxiv.Result.Author('David Jacob Kedziora'), arxiv.Result.Author('Katarzyna Musial'), arxiv.Result.Author('Bogdan Gabrys')]",2022
6,AutoML-based Almond Yield Prediction and Projection in California,2022-11-08 00:48:50+00:00,6,http://arxiv.org/pdf/2211.03925v1,cs.LG,"['cs.LG', 'physics.ao-ph']","[arxiv.Result.Author('Shiheng Duan'), arxiv.Result.Author('Shuaiqi Wu'), arxiv.Result.Author('Erwan Monier'), arxiv.Result.Author('Paul Ullrich')]",2022
7,Empirical Analysis of Model Selection for Heterogenous Causal Effect Estimation,2022-11-03 16:26:06+00:00,7,http://arxiv.org/pdf/2211.01939v1,cs.LG,"['cs.LG', 'cs.AI', 'stat.ME']","[arxiv.Result.Author('Divyat Mahajan'), arxiv.Result.Author('Ioannis Mitliagkas'), arxiv.Result.Author('Brady Neal'), arxiv.Result.Author('Vasilis Syrgkanis')]",2022
8,Automated Imbalanced Learning,2022-11-01 10:43:48+00:00,8,http://arxiv.org/pdf/2211.00376v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Prabhant Singh'), arxiv.Result.Author('Joaquin Vanschoren')]",2022
9,Efficient Automatic Machine Learning via Design Graphs,2022-10-21 21:25:59+00:00,9,http://arxiv.org/pdf/2210.12257v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Shirley Wu'), arxiv.Result.Author('Jiaxuan You'), arxiv.Result.Author('Jure Leskovec'), arxiv.Result.Author('Rex Ying')]",2022
